id,file,category,pages,focus,notes
editable-paper-formula,1.pdf,editable-paper,13,redaction/layout/formula,"Editable PDF; has text layer and images, no large background image"
pseudo-editable,2.pdf,pseudo-editable,29,visual-only/background/text-layer,"Pseudo-editable PDF; has text layer but risk of regression as scan/pseudo-editable"
dark-background,,dark-background,,text-color/background,
programming-manual,,technical-manual,,code-block/preserve-layout,
bookmarks,,editable-book,,toc/bookmarks-preservation,
multi-column-paper,,multi-column-paper,,ocr-order/layout,
